reasons_group_1,reasons_group_2,reasons_group_3,reasons_group_4,Day,Month,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,24,9,291,31,40,241.476,25,0,1,1,4
0,0,0,1,4,9,260,50,36,241.476,23,0,4,0,8
1,0,0,0,14,9,291,31,40,241.476,25,0,1,1,32
0,0,0,0,21,9,260,50,36,241.476,23,0,4,0,0
0,0,0,0,28,9,225,26,28,241.476,24,0,1,2,0
0,0,0,1,8,9,225,26,28,241.476,24,0,1,2,2
0,0,0,1,15,9,118,10,37,241.476,28,0,0,0,2
0,0,0,0,22,9,289,36,33,241.476,30,0,2,1,0
0,0,0,0,29,9,118,13,50,241.476,31,0,1,0,0
0,0,1,0,16,9,225,26,28,241.476,24,0,1,2,3
0,0,0,1,23,9,179,51,38,241.476,31,0,0,0,3
0,0,0,0,30,9,369,17,31,241.476,25,0,3,0,0
0,0,0,1,11,9,248,25,47,241.476,32,0,2,1,1
0,0,0,1,18,9,179,51,38,241.476,31,0,0,0,3
0,0,0,1,25,9,260,50,36,241.476,23,0,4,0,4
0,0,0,1,6,10,179,51,38,253.465,31,0,0,0,3
0,0,0,1,13,10,118,10,37,253.465,28,0,0,0,3
0,0,0,0,14,10,118,13,50,253.465,31,0,1,0,0
0,0,0,1,15,10,179,26,30,253.465,19,1,0,0,1
0,0,0,1,16,10,179,51,38,253.465,31,0,0,0,3
0,0,0,1,16,10,225,26,28,253.465,24,0,1,2,3
0,0,0,1,6,10,118,10,37,253.465,28,0,0,0,3
0,0,0,1,14,10,225,26,28,253.465,24,0,1,2,2
0,0,0,1,21,10,248,25,47,253.465,32,0,2,1,2
0,0,0,1,22,10,291,31,40,253.465,25,0,1,1,5
0,0,0,1,21,10,179,51,38,253.465,31,0,0,0,8
0,0,0,1,21,10,225,26,28,253.465,24,0,1,2,3
0,0,1,0,22,10,260,50,36,253.465,23,0,4,0,16
1,0,0,0,13,10,291,31,40,253.465,25,0,1,1,8
0,0,0,1,20,10,225,26,28,253.465,24,0,1,2,2
0,0,0,1,21,10,289,36,33,253.465,30,0,2,1,8
0,0,0,1,23,10,361,52,28,253.465,27,0,1,4,1
0,0,0,1,30,10,260,50,36,253.465,23,0,4,0,3
0,0,0,1,5,11,179,51,38,306.345,31,0,0,0,1
0,0,0,1,4,11,225,26,28,306.345,24,0,1,2,1
1,0,0,0,5,11,179,51,38,306.345,31,0,0,0,8
0,0,1,0,12,11,179,22,40,306.345,22,1,2,0,8
0,0,0,1,19,11,291,31,40,306.345,25,0,1,1,5
1,0,0,0,2,11,155,12,34,306.345,25,0,2,0,32
0,0,0,1,9,11,189,29,33,306.345,25,0,2,2,8
1,0,0,0,16,11,291,31,40,306.345,25,0,1,1,40
0,0,0,1,18,11,225,26,28,306.345,24,0,1,2,1
1,0,0,0,20,11,155,12,34,306.345,25,0,2,0,8
0,0,0,1,18,11,225,26,28,306.345,24,0,1,2,3
0,0,1,0,25,11,179,22,40,306.345,22,1,2,0,8
1,0,0,0,20,11,225,26,28,306.345,24,0,1,2,3
0,0,0,1,27,11,260,50,36,306.345,23,0,4,0,4
0,0,0,1,2,11,248,25,47,306.345,32,0,2,1,1
0,0,0,1,10,11,225,26,28,306.345,24,0,1,2,3
1,0,0,0,11,11,289,36,33,306.345,30,0,2,1,24
0,0,0,1,26,11,291,31,40,306.345,25,0,1,1,3
0,0,0,1,1,12,248,25,47,261.306,32,0,2,1,1
0,0,1,0,1,12,118,10,37,261.306,28,0,0,0,64
0,0,0,1,2,12,118,13,50,261.306,31,0,1,0,2
0,0,0,1,2,12,235,11,37,261.306,29,1,1,1,8
0,0,0,1,3,12,225,26,28,261.306,24,0,1,2,2
0,0,0,1,4,12,260,50,36,261.306,23,0,4,0,8
0,0,1,0,8,12,118,10,37,261.306,28,0,0,0,56
0,0,0,1,9,12,361,52,28,261.306,27,0,1,4,8
0,0,0,1,10,12,225,26,28,261.306,24,0,1,2,3
0,0,0,1,11,12,260,50,36,261.306,23,0,4,0,3
0,0,0,1,15,12,225,26,28,261.306,24,0,1,2,2
0,0,0,1,16,12,361,52,28,261.306,27,0,1,4,8
0,0,0,1,11,12,118,10,37,261.306,28,0,0,0,2
0,0,1,0,18,12,246,25,41,261.306,23,0,0,0,8
0,0,0,1,18,12,225,26,28,261.306,24,0,1,2,2
0,0,0,1,6,1,225,26,28,308.593,24,0,1,2,1
0,0,1,0,4,1,118,10,37,308.593,28,0,0,0,1
0,0,0,1,5,1,118,10,37,308.593,28,0,0,0,1
0,0,1,0,5,1,155,12,34,308.593,25,0,2,0,8
0,0,0,1,6,1,225,26,28,308.593,24,0,1,2,2
0,0,0,1,7,1,184,42,27,308.593,21,0,0,0,2
0,0,0,1,7,1,225,26,28,308.593,24,0,1,2,2
0,0,0,1,8,1,225,26,28,308.593,24,0,1,2,1
0,0,0,1,11,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,12,1,225,26,28,308.593,24,0,1,2,2
0,0,0,1,12,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,13,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,14,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,15,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,11,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,12,1,118,10,37,308.593,28,0,0,0,2
0,0,1,0,12,1,179,26,30,308.593,19,1,0,0,8
0,0,1,0,12,1,289,36,33,308.593,30,0,2,1,8
0,0,0,1,13,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,21,1,184,42,27,308.593,21,0,0,0,2
0,0,0,1,28,1,118,10,37,308.593,28,0,0,0,2
0,0,0,1,25,1,118,10,37,308.593,28,0,0,0,0
0,0,0,1,26,1,225,26,28,308.593,24,0,1,2,1
0,0,0,1,28,1,289,36,33,308.593,30,0,2,1,3
0,0,0,1,5,2,184,42,27,302.585,21,0,0,0,1
1,0,0,0,3,2,246,25,41,302.585,23,0,0,0,8
1,0,0,0,10,2,179,51,38,302.585,31,0,0,0,8
0,0,0,1,11,2,155,12,34,302.585,25,0,2,0,2
0,0,0,1,11,2,189,29,33,302.585,25,0,2,2,8
0,0,0,1,12,2,260,50,36,302.585,23,0,4,0,2
0,0,0,1,12,2,289,36,33,302.585,30,0,2,1,8
1,0,0,0,8,2,388,15,50,302.585,24,0,0,0,8
1,0,0,0,9,2,388,15,50,302.585,24,0,0,0,8
0,0,0,1,15,2,225,26,28,302.585,24,0,1,2,2
0,0,0,1,9,2,225,26,28,302.585,24,0,1,2,2
0,0,0,1,16,2,179,26,30,302.585,19,1,0,0,1
0,0,0,1,23,2,184,42,27,302.585,21,0,0,0,8
0,0,0,1,25,2,225,26,28,302.585,24,0,1,2,3
0,0,1,0,15,2,330,16,28,302.585,25,1,0,0,8
0,0,0,1,16,2,330,16,28,302.585,25,1,0,0,1
0,0,0,1,17,2,225,26,28,302.585,24,0,1,2,1
0,0,1,0,25,2,189,29,33,302.585,25,0,2,2,8
0,0,0,1,1,3,291,50,32,343.253,23,0,0,0,2
0,0,1,0,1,3,260,50,36,343.253,23,0,4,0,8
0,0,1,0,8,3,157,27,29,343.253,22,0,0,0,3
0,1,0,0,15,3,179,22,40,343.253,22,1,2,0,8
0,0,0,1,16,3,291,31,40,343.253,25,0,1,1,8
1,0,0,0,2,3,260,50,36,343.253,23,0,4,0,8
1,0,0,0,3,3,179,26,30,343.253,19,1,0,0,8
1,0,0,0,4,3,248,25,47,343.253,32,0,2,1,3
1,0,0,0,4,3,260,50,36,343.253,23,0,4,0,40
1,0,0,0,7,3,179,22,40,343.253,22,1,2,0,40
1,0,0,0,14,3,155,12,34,343.253,25,0,2,0,16
0,0,0,1,21,3,260,50,36,343.253,23,0,4,0,16
1,0,0,0,22,3,155,12,34,343.253,25,0,2,0,8
1,0,0,0,24,3,289,36,33,343.253,30,0,2,1,8
1,0,0,0,24,3,179,22,40,343.253,22,1,2,0,8
0,0,0,1,25,3,260,50,36,343.253,23,0,4,0,4
0,0,0,1,25,3,225,26,28,343.253,24,0,1,2,1
1,0,0,0,28,3,279,5,39,343.253,24,0,2,0,8
1,0,0,0,29,3,179,51,38,343.253,31,0,0,0,24
0,0,0,1,30,3,225,26,28,343.253,24,0,1,2,2
1,0,0,0,28,3,225,26,28,343.253,24,0,1,2,8
1,0,0,0,28,3,179,26,30,343.253,19,1,0,0,1
1,0,0,0,29,3,225,26,28,343.253,24,0,1,2,8
1,0,0,0,30,3,225,26,28,343.253,24,0,1,2,16
1,0,0,0,30,3,179,51,38,343.253,31,0,0,0,3
1,0,0,0,17,3,279,5,39,343.253,24,0,2,0,16
0,0,0,1,18,3,225,26,28,343.253,24,0,1,2,2
1,0,0,0,25,3,248,25,47,343.253,32,0,2,1,3
0,0,0,1,28,3,225,26,28,343.253,24,0,1,2,1
0,0,0,1,6,4,291,31,40,326.452,25,0,1,1,1
0,0,0,1,13,4,225,26,28,326.452,24,0,1,2,1
0,0,0,1,12,4,155,12,34,326.452,25,0,2,0,1
1,0,0,0,13,4,246,25,41,326.452,23,0,0,0,24
0,0,0,1,14,4,155,12,34,326.452,25,0,2,0,1
0,0,0,1,15,4,225,26,28,326.452,24,0,1,2,2
0,0,0,1,15,4,260,50,36,326.452,23,0,4,0,4
1,0,0,0,6,4,179,51,38,326.452,31,0,0,0,24
0,0,0,1,7,4,118,13,50,326.452,31,0,1,0,1
0,0,0,1,8,4,291,31,40,326.452,25,0,1,1,3
1,0,0,0,8,4,246,25,41,326.452,23,0,0,0,8
0,0,0,1,22,4,291,31,40,326.452,25,0,1,1,1
0,0,0,1,29,4,248,25,47,326.452,32,0,2,1,8
0,0,1,0,29,4,260,50,36,326.452,23,0,4,0,56
0,0,1,0,26,4,289,36,33,326.452,30,0,2,1,8
1,0,0,0,27,4,155,12,34,326.452,25,0,2,0,24
0,0,1,0,27,4,378,49,36,326.452,21,0,2,4,8
1,0,0,0,28,4,289,36,33,326.452,30,0,2,1,16
1,0,0,0,8,4,235,11,37,326.452,29,1,1,1,3
0,0,0,0,4,4,235,29,48,326.452,33,0,1,5,0
1,0,0,0,4,5,289,36,33,378.884,30,0,2,1,8
0,0,0,1,5,5,155,12,34,378.884,25,0,2,0,2
0,0,0,1,2,5,155,12,34,378.884,25,0,2,0,1
0,0,1,0,3,5,179,51,38,378.884,31,0,0,0,8
0,0,1,0,3,5,225,26,28,378.884,24,0,1,2,8
1,0,0,0,11,5,184,42,27,378.884,21,0,0,0,4
0,0,0,1,9,5,155,12,34,378.884,25,0,2,0,2
1,0,0,0,10,5,179,51,38,378.884,31,0,0,0,1
1,0,0,0,4,5,289,36,33,378.884,30,0,2,1,24
0,0,0,0,11,5,279,5,39,378.884,24,0,2,0,0
0,0,0,0,18,5,330,16,28,378.884,25,1,0,0,0
0,0,0,0,25,5,378,49,36,378.884,21,0,2,4,0
0,0,0,0,25,5,388,15,50,378.884,24,0,0,0,0
1,0,0,0,24,5,179,51,38,378.884,31,0,0,0,1
1,0,0,0,11,5,118,13,50,378.884,31,0,1,0,24
0,0,0,1,27,5,361,52,28,378.884,27,0,1,4,8
0,0,1,0,6,6,246,25,41,377.55,23,0,0,0,8
0,0,0,1,13,6,361,52,28,377.55,27,0,1,4,8
1,0,0,0,14,6,246,25,41,377.55,23,0,0,0,24
0,0,0,1,16,6,291,31,40,377.55,25,0,1,1,4
1,0,0,0,17,6,246,25,41,377.55,23,0,0,0,8
1,0,0,0,13,6,179,51,38,377.55,31,0,0,0,8
0,0,0,1,20,6,155,12,34,377.55,25,0,2,0,4
1,0,0,0,27,6,246,25,41,377.55,23,0,0,0,8
1,0,0,0,29,6,118,13,50,377.55,31,0,1,0,8
1,0,0,0,3,6,235,11,37,377.55,29,1,1,1,16
0,0,0,1,7,6,118,13,50,377.55,31,0,1,0,1
1,0,0,0,8,6,118,13,50,377.55,31,0,1,0,80
0,0,0,1,9,6,378,49,36,377.55,21,0,2,4,8
1,0,0,0,10,6,179,51,38,377.55,31,0,0,0,2
0,0,0,1,20,6,289,48,49,377.55,36,0,0,2,2
0,0,0,1,30,6,225,26,28,377.55,24,0,1,2,2
0,0,1,0,5,7,155,12,34,275.312,25,0,2,0,16
1,0,0,0,6,7,118,13,50,275.312,31,0,1,0,8
1,0,0,0,8,7,118,10,37,275.312,28,0,0,0,8
0,0,0,1,8,7,118,10,37,275.312,28,0,0,0,4
0,0,0,1,12,7,330,16,28,275.312,25,1,0,0,8
0,0,1,0,14,7,179,26,30,275.312,19,1,0,0,8
0,0,0,1,15,7,155,12,34,275.312,25,0,2,0,2
1,0,0,0,18,7,330,16,28,275.312,25,1,0,0,8
1,0,0,0,19,7,330,16,28,275.312,25,1,0,0,8
0,0,0,1,18,7,157,27,29,275.312,22,0,0,0,3
0,0,0,1,19,7,361,52,28,275.312,27,0,1,4,8
0,0,0,1,20,7,289,36,33,275.312,30,0,2,1,8
0,0,0,1,21,7,179,51,38,275.312,31,0,0,0,8
0,0,1,0,11,7,289,36,33,275.312,30,0,2,1,32
0,0,1,0,14,7,289,36,33,275.312,30,0,2,1,8
0,0,0,0,21,7,260,50,36,275.312,23,0,4,0,0
0,0,1,0,4,8,289,36,33,265.615,30,0,2,1,8
0,0,1,0,11,8,157,27,29,265.615,22,0,0,0,3
0,0,0,1,7,8,289,36,33,265.615,30,0,2,1,1
0,0,1,0,8,8,228,14,58,265.615,22,0,2,1,8
1,0,0,0,10,8,300,26,43,265.615,25,0,2,1,1
1,0,0,0,10,8,300,26,43,265.615,25,0,2,1,2
0,0,0,1,11,8,260,50,36,265.615,23,0,4,0,4
0,0,0,1,8,8,289,36,33,265.615,30,0,2,1,4
0,0,0,1,9,8,248,25,47,265.615,32,0,2,1,1
1,0,0,0,10,8,268,11,33,265.615,25,1,0,0,8
0,0,0,1,10,8,179,26,30,265.615,19,1,0,0,1
1,0,0,0,10,8,118,13,50,265.615,31,0,1,0,3
0,0,0,1,14,8,248,25,47,265.615,32,0,2,1,2
0,0,0,1,15,8,235,11,37,265.615,29,1,1,1,1
0,0,0,1,17,8,118,13,50,265.615,31,0,1,0,1
0,0,1,0,24,8,235,11,37,265.615,29,1,1,1,8
1,0,0,0,8,8,361,52,28,265.615,27,0,1,4,8
1,0,0,0,30,8,184,42,27,265.615,21,0,0,0,8
1,0,0,0,5,9,179,51,38,294.217,31,0,0,0,8
0,0,0,1,9,9,179,51,38,294.217,31,0,0,0,3
0,0,1,0,7,9,289,36,33,294.217,30,0,2,1,24
0,0,0,0,8,9,235,20,43,294.217,38,0,1,0,0
1,0,0,0,12,9,246,25,41,294.217,23,0,0,0,16
0,0,0,1,13,9,291,31,40,294.217,25,0,1,1,3
0,0,0,0,13,9,231,35,39,294.217,35,0,2,2,0
0,0,0,0,13,9,291,50,32,294.217,23,0,0,0,0
1,0,0,0,14,9,179,51,38,294.217,31,0,0,0,8
1,0,0,0,14,9,246,25,41,294.217,23,0,0,0,32
0,0,0,1,15,9,179,51,38,294.217,31,0,0,0,1
0,0,0,1,16,9,291,31,40,294.217,25,0,1,1,4
0,0,0,1,16,9,260,50,36,294.217,23,0,4,0,4
0,0,0,1,14,9,235,20,43,294.217,38,0,1,0,8
0,0,0,1,15,9,118,13,50,294.217,31,0,1,0,1
0,0,0,0,15,9,235,20,43,294.217,38,0,1,0,0
0,0,0,1,16,9,291,31,40,294.217,25,0,1,1,3
1,0,0,0,26,9,291,31,40,294.217,25,0,1,1,40
1,0,0,0,26,9,179,51,38,294.217,31,0,0,0,8
0,0,0,1,5,10,289,36,33,265.017,30,0,2,1,8
0,0,0,1,5,10,235,11,37,265.017,29,1,1,1,4
0,0,0,1,5,10,289,36,33,265.017,30,0,2,1,8
0,0,0,1,6,10,289,36,33,265.017,30,0,2,1,8
0,0,0,0,6,10,118,13,50,265.017,31,0,1,0,0
0,0,0,0,6,10,248,25,47,265.017,32,0,2,1,0
1,0,0,0,12,10,179,26,30,265.017,19,1,0,0,8
1,0,0,0,12,10,118,10,37,265.017,28,0,0,0,3
0,0,0,1,12,10,369,17,31,265.017,25,0,3,0,8
0,0,0,1,14,10,179,51,38,265.017,31,0,0,0,1
1,0,0,0,14,10,179,26,30,265.017,19,1,0,0,64
0,0,0,0,14,10,235,20,43,265.017,38,0,1,0,0
0,0,1,0,15,10,289,36,33,265.017,30,0,2,1,16
0,0,0,1,16,10,260,50,36,265.017,23,0,4,0,3
0,0,0,0,16,10,235,20,43,265.017,38,0,1,0,0
0,0,0,1,19,10,235,20,43,265.017,38,0,1,0,2
0,0,0,1,19,10,235,20,43,265.017,38,0,1,0,2
0,0,0,1,20,10,118,13,50,265.017,31,0,1,0,1
0,0,0,1,20,10,291,31,40,265.017,25,0,1,1,4
0,0,0,1,22,10,179,26,30,265.017,19,1,0,0,16
0,0,0,1,22,10,118,13,50,265.017,31,0,1,0,1
1,0,0,0,26,10,361,52,28,265.017,27,0,1,4,8
0,0,0,0,27,10,260,50,36,265.017,23,0,4,0,0
0,0,0,0,27,10,291,31,40,265.017,25,0,1,1,0
0,0,0,0,27,10,157,27,29,265.017,22,0,0,0,0
1,0,0,0,28,10,179,26,30,265.017,19,1,0,0,5
1,0,0,0,28,10,179,26,30,265.017,19,1,0,0,5
0,0,0,1,29,10,118,13,50,265.017,31,0,1,0,1
1,0,0,0,7,11,118,10,37,284.031,28,0,0,0,8
0,0,0,1,7,11,248,25,47,284.031,32,0,2,1,2
1,0,0,0,8,11,179,51,38,284.031,31,0,0,0,8
0,0,0,1,11,11,260,50,36,284.031,23,0,4,0,3
0,0,0,1,14,11,291,31,40,284.031,25,0,1,1,1
1,0,0,0,14,11,378,49,36,284.031,21,0,2,4,8
1,0,0,0,14,11,155,12,34,284.031,25,0,2,0,120
0,0,0,1,14,11,235,20,43,284.031,38,0,1,0,8
0,0,0,0,15,11,330,16,28,284.031,25,1,0,0,0
0,0,1,0,16,11,235,11,37,284.031,29,1,1,1,1
1,0,0,0,16,11,118,10,37,284.031,28,0,0,0,3
0,0,0,1,17,11,235,11,37,284.031,29,1,1,1,2
0,0,0,1,17,11,179,51,38,284.031,31,0,0,0,3
1,0,0,0,18,11,246,25,41,284.031,23,0,0,0,8
1,0,0,0,18,11,291,31,40,284.031,25,0,1,1,4
1,0,0,0,21,11,246,25,41,284.031,23,0,0,0,8
0,0,0,1,22,11,179,51,38,284.031,31,0,0,0,1
1,0,0,0,23,11,260,50,36,284.031,23,0,4,0,8
0,1,0,0,25,11,260,50,36,284.031,23,0,4,0,8
0,0,0,0,25,11,378,49,36,284.031,21,0,2,4,0
0,0,0,0,29,11,279,5,39,284.031,24,0,2,0,0
0,0,0,1,24,11,179,51,38,284.031,31,0,0,0,1
1,0,0,0,5,12,225,26,28,236.629,24,0,1,2,3
0,0,0,1,5,12,179,51,38,236.629,31,0,0,0,2
0,0,0,1,5,12,179,51,38,236.629,31,0,0,0,1
0,0,0,1,5,12,235,11,37,236.629,29,1,1,1,3
0,0,0,1,6,12,118,13,50,236.629,31,0,1,0,1
0,0,0,1,9,12,260,50,36,236.629,23,0,4,0,4
1,0,0,0,15,12,246,25,41,236.629,23,0,0,0,8
0,0,0,1,15,12,179,51,38,236.629,31,0,0,0,1
0,0,0,1,16,12,179,51,38,236.629,31,0,0,0,1
0,0,0,1,20,12,179,26,30,236.629,19,1,0,0,1
0,0,0,1,20,12,118,10,37,236.629,28,0,0,0,8
0,0,0,1,22,12,235,11,37,236.629,29,1,1,1,2
0,0,0,1,23,12,179,51,38,236.629,31,0,0,0,1
1,0,0,0,20,12,235,20,43,236.629,38,0,1,0,8
1,0,0,0,20,12,235,11,37,236.629,29,1,1,1,4
0,0,0,1,21,12,260,50,36,236.629,23,0,4,0,8
0,0,0,1,19,12,157,27,29,236.629,22,0,0,0,2
0,0,0,1,19,12,179,51,38,236.629,31,0,0,0,3
0,0,1,0,19,12,289,36,33,236.629,30,0,2,1,8
0,0,0,1,4,1,225,26,28,330.061,24,0,1,2,5
0,0,1,0,9,1,118,10,37,330.061,28,0,0,0,32
0,0,0,1,9,1,155,12,34,330.061,25,0,2,0,2
1,0,0,0,3,1,235,11,37,330.061,29,1,1,1,1
0,0,0,1,3,1,155,12,34,330.061,25,0,2,0,4
0,0,0,1,9,1,289,36,33,330.061,30,0,2,1,8
1,0,0,0,11,1,291,31,40,330.061,25,0,1,1,8
0,0,0,1,16,1,235,20,43,330.061,38,0,1,0,8
0,0,0,1,16,1,118,13,50,330.061,31,0,1,0,4
0,0,0,1,25,1,179,51,38,330.061,31,0,0,0,1
0,0,0,1,27,1,179,51,38,330.061,31,0,0,0,1
0,0,0,1,7,2,118,10,37,251.818,28,0,0,0,2
0,0,0,1,1,2,179,51,38,251.818,31,0,0,0,3
1,0,0,0,1,2,225,26,28,251.818,24,0,1,2,1
0,0,0,1,3,2,289,36,33,251.818,30,0,2,1,3
0,0,0,1,10,2,260,50,36,251.818,23,0,4,0,3
0,0,0,1,17,2,179,51,38,251.818,31,0,0,0,3
0,0,0,1,13,2,179,51,38,251.818,31,0,0,0,2
0,0,0,1,15,2,179,51,38,251.818,31,0,0,0,3
1,0,0,0,16,2,179,51,38,251.818,31,0,0,0,8
0,0,0,1,16,2,246,25,41,251.818,23,0,0,0,8
0,0,0,1,17,2,179,51,38,251.818,31,0,0,0,3
0,0,0,1,13,2,189,29,33,251.818,25,0,2,2,8
0,0,0,1,13,2,179,51,38,251.818,31,0,0,0,3
0,0,0,1,21,2,246,25,41,251.818,23,0,0,0,2
0,0,0,1,21,2,291,31,40,251.818,25,0,1,1,2
1,0,0,0,22,2,157,27,29,251.818,22,0,0,0,16
0,0,0,1,22,2,179,51,38,251.818,31,0,0,0,3
0,0,0,1,24,2,179,51,38,251.818,31,0,0,0,3
1,0,0,0,24,2,246,25,41,251.818,23,0,0,0,24
0,0,0,1,22,2,179,51,38,251.818,31,0,0,0,3
0,0,0,1,24,2,179,51,38,251.818,31,0,0,0,3
0,0,1,0,7,3,118,10,37,244.387,28,0,0,0,8
0,0,1,0,8,3,246,25,41,244.387,23,0,0,0,16
0,0,0,1,10,3,246,25,41,244.387,23,0,0,0,2
0,0,0,1,10,3,260,50,36,244.387,23,0,4,0,4
0,0,0,1,13,3,179,51,38,244.387,31,0,0,0,2
0,0,0,1,13,3,235,11,37,244.387,29,1,1,1,8
0,0,0,1,14,3,179,22,40,244.387,22,1,2,0,8
0,0,0,1,14,3,378,49,36,244.387,21,0,2,4,8
0,0,0,1,20,3,179,51,38,244.387,31,0,0,0,16
0,0,0,1,22,3,361,52,28,244.387,27,0,1,4,8
0,0,0,0,22,3,369,17,31,244.387,25,0,3,0,0
0,0,1,0,23,3,235,11,37,244.387,29,1,1,1,8
0,0,0,1,24,3,118,13,50,244.387,31,0,1,0,2
1,0,0,0,28,3,118,13,50,244.387,31,0,1,0,3
1,0,0,0,29,3,118,13,50,244.387,31,0,1,0,8
0,0,0,0,30,3,235,11,37,244.387,29,1,1,1,0
0,0,0,0,30,3,246,25,41,244.387,23,0,0,0,0
0,0,0,0,30,3,118,13,50,244.387,31,0,1,0,0
0,0,0,1,31,3,179,51,38,244.387,31,0,0,0,8
0,0,0,1,31,3,289,36,33,244.387,30,0,2,1,8
0,0,1,0,27,3,260,50,36,244.387,23,0,4,0,8
0,0,0,1,28,3,246,25,41,244.387,23,0,0,0,2
0,0,0,1,5,4,179,51,38,239.409,31,0,0,0,4
0,0,0,1,7,4,260,50,36,239.409,23,0,4,0,3
0,0,0,1,7,4,330,16,28,239.409,25,1,0,0,4
0,0,0,1,10,4,369,17,31,239.409,25,0,3,0,4
0,0,0,1,10,4,248,25,47,239.409,32,0,2,1,4
0,0,0,1,12,4,330,16,28,239.409,25,1,0,0,8
0,0,0,1,12,4,179,51,38,239.409,31,0,0,0,8
0,0,0,1,17,4,118,13,50,239.409,31,0,1,0,1
1,0,0,0,19,4,118,13,50,239.409,31,0,1,0,120
0,0,0,1,28,4,300,26,43,239.409,25,0,2,1,8
0,0,0,1,28,4,260,50,36,239.409,23,0,4,0,4
0,0,0,1,24,4,179,51,38,239.409,31,0,0,0,4
1,0,0,0,26,4,118,10,37,239.409,28,0,0,0,2
1,0,0,0,1,5,235,20,43,246.074,38,0,1,0,16
0,0,0,1,3,5,248,25,47,246.074,32,0,2,1,2
1,0,0,0,8,5,369,17,31,246.074,25,0,3,0,8
0,0,0,1,10,5,179,26,30,246.074,19,1,0,0,3
0,0,0,1,10,5,179,51,38,246.074,31,0,0,0,4
0,0,0,1,11,5,361,52,28,246.074,27,0,1,4,1
